Month,Boro,CD,BC_SNAP_Recipients,BC_SNAP_Households
09/01/2021,Bronx,B06,40506,22265
09/01/2021,Bronx,B07,48108,27865
09/01/2021,Bronx,B08,18512,11165
09/01/2021,Bronx,B09,56721,31566
09/01/2021,Bronx,B10,20830,12583
09/01/2021,Bronx,B11,26601,15551
09/01/2021,Bronx,B12,41311,22781
09/01/2021,Brooklyn,K01,51887,21226
09/01/2021,Brooklyn,K02,14234,9723
09/01/2021,Brooklyn,K03,44542,24700
09/01/2021,Brooklyn,K04,25032,15934
09/01/2021,Brooklyn,K05,65996,38331
09/01/2021,Brooklyn,K06,11574,7558
09/01/2021,Brooklyn,K07,22113,13618
09/01/2021,Brooklyn,K08,20038,13252
09/01/2021,Brooklyn,K09,21319,13217
09/01/2021,Brooklyn,K10,18663,11143
09/01/2021,Brooklyn,K11,37290,22173
09/01/2021,Brooklyn,K12,62060,20581
09/01/2021,Brooklyn,K13,31964,21230
09/01/2021,Brooklyn,K14,32033,19022
09/01/2021,Brooklyn,K15,28319,17676
09/01/2021,Brooklyn,K16,38217,22108
09/01/2021,Brooklyn,K17,32539,21021
09/01/2021,Brooklyn,K18,30279,18650
09/01/2021,Queens,Q01,24694,15072
09/01/2021,Queens,Q02,11845,7478
09/01/2021,Queens,Q03,25675,14875
09/01/2021,Queens,Q04,27920,16289
09/01/2021,Queens,Q05,20312,12049
09/01/2021,Queens,Q06,11078,7534
09/01/2021,Queens,Q07,29813,19525
09/01/2021,Queens,Q08,19543,11596
09/01/2021,Queens,Q09,24344,14133
09/01/2021,Queens,Q10,17833,10767
09/01/2021,Queens,Q11,8079,5298
09/01/2021,Queens,Q12,46518,28034
09/01/2021,Queens,Q13,22468,14081
09/01/2021,Queens,Q14,30008,16427
09/01/2021,Staten Island,S01,38889,20724
09/01/2021,Staten Island,S02,16103,9312
09/01/2021,Staten Island,S03,11504,7175
12/01/2021,Manhattan,M01,2091,1594
12/01/2021,Manhattan,M02,3006,2443
12/01/2021,Manhattan,M03,37864,25959
12/01/2021,Manhattan,M04,13240,10065
12/01/2021,Manhattan,M05,4766,3789
